Postcode,Latitude,Longitude
EC1,51.523,-0.092
EC2,51.518,-0.084
EC3,51.508,-0.076
EC4,51.511,-0.098
E1,51.5176,-0.0558
E1W,51.5058,-0.0572
E2,51.5281,-0.0617
E3,51.5281,-0.0205
E4,51.6307,-0.0118
E5,51.5597,-0.0500
E6,51.5255,-0.0587
E7,51.5518,-0.0294
E8,51.5439,-0.0617
E9,51.5413,-0.0411
E10,51.5650,-0.0147
E11,51.5729,-0.0176
E12,51.5544,-0.0558
E13,51.5308,-0.0294
E14,51.5098,-0.0176
E15,51.5413,-0.0059
E16,51.5097,-0.0293
E17,51.5834,-0.0176
E18,51.5913,-0.0265
E20,51.5439,-0.0088
E77,51.51,-0.07
E98,51.51,-0.06
N1,51.5413,-0.0881
N1C,51.5373,-0.1249
N1P,51.5384,-0.1033
N2,51.5912,-0.1679
N3,51.6016,-0.1916
N4,51.5728,-0.1000
N5,51.5544,-0.0970
N6,51.5754,-0.1501
N7,51.5544,-0.1147
N8,51.5833,-0.1236
N9,51.6281,-0.0560
N10,51.5964,-0.1443
N11,51.6175,-0.1385
N12,51.6175,-0.1799
N13,51.6175,-0.1031
N14,51.6360,-0.1239
N15,51.5834,-0.0765
N16,51.5623,-0.0764
N17,51.5939,-0.0530
N18,51.6149,-0.0766
N19,51.5649,-0.1324
N20,51.6359,-0.1948
N21,51.6360,-0.1002
N22,51.6017,-0.1149
N81,51.589973,-0.112392
NW1,51.5307,-0.1469
NW2,51.5621,-0.2297
NW3,51.5517,-0.1706
NW4,51.5937,-0.2181
NW5,51.5544,-0.1441
NW6,51.5438,-0.1971
NW7,51.6147,-0.2301
NW8,51.5333,-0.1734
NW9,51.5831,-0.2535
NW10,51.5410,-0.2531
NW11,51.5832,-0.1944
NW26,51.5340,-0.2483
SE1,51.5018,-0.0910
SE2,51.4860,-0.1203
SE3,51.4677,-0.0176
SE4,51.4598,-0.0322
SE5,51.4756,-0.0909
SE6,51.4362,-0.0175
SE7,51.4861,-0.0381
SE8,51.4808,-0.0264
SE9,51.4414,-0.0585
SE10,51.4808,-0.0029
SE11,51.4913,-0.1085
SE12,51.4467,-0.0176
SE13,51.4572,-0.0059
SE14,51.4756,-0.0381
SE15,51.4703,-0.0615
SE16,51.4966,-0.0498
SE17,51.4874,-0.0924
SE18,51.4782,-0.0762
SE19,51.4178,-0.0848
SE20,51.4126,-0.0614
SE21,51.4388,-0.0849
SE22,51.4546,-0.0732
SE23,51.4441,-0.0498
SE24,51.4545,-0.0967
SE25,51.3968,-0.0731
SE26,51.4283,-0.0556
SE27,51.4283,-0.1024
SE28,51.5018,-0.1086
SW1,51.49,-0.13
SW1A,51.5031,-0.1306
SW1E,51.4985,-0.1387
SW1H,51.4998,-0.1313
SW1P,51.4952,-0.1306
SW1V,51.4900,-0.1394
SW1W,51.4926,-0.1482
SW1X,51.4978,-0.1541
SW1Y,51.5077,-0.1328
SW2,51.4493,-0.1201
SW3,51.4912,-0.1614
SW4,51.4598,-0.1378
SW5,51.4925,-0.1923
SW6,51.4754,-0.2025
SW7,51.4965,-0.1732
SW8,51.4755,-0.1320
SW9,51.4677,-0.1114
SW10,51.4807,-0.1790
SW11,51.4676,-0.1583
SW12,51.4440,-0.1494
SW13,51.4780,-0.2407
SW14,51.4648,-0.2671
SW15,51.4570,-0.2288
SW16,51.4204,-0.1288
SW17,51.4256,-0.1581
SW18,51.4466,-0.1935
SW19,51.4255,-0.2051
SW20,51.4071,-0.2255
W1,51.51,-0.14
W1A,51.524567,-0.112017
W1B,51.5185,-0.1421
W1C,51.5148,-0.1478
W1D,51.5143,-0.1299
W1F,51.5143,-0.1358
W1G,51.5195,-0.1461
W1H,51.5188,-0.1601
W1J,51.5083,-0.1453
W1K,51.5110,-0.1512
W1S,51.5116,-0.1402
W1T,51.5189,-0.1336
W1U,51.5188,-0.1542
W1W,51.5195,-0.1403
W2,51.5096,-0.1704
W3,51.5121,-0.2676
W4,51.4884,-0.2644
W5,51.5094,-0.3000
W6,51.4911,-0.2261
W7,51.5119,-0.3325
W8,51.5017,-0.1909
W9,51.5280,-0.1852
W10,51.5227,-0.2146
W11,51.5122,-0.2086
W12,51.5095,-0.2292
W13,51.5172,-0.3207
W14,51.4964,-0.2085
WC1,51.514,-0.120
WC2,51.514,-0.124
